Time (s),Linear Acceleration x1 (m/s^2),Linear Acceleration x2 (m/s^2),Linear Acceleration x3 (m/s^2)
4.175,-0.126614332,-0.527961433,-0.005780458
4.18,-0.209403902,-0.56240207,-0.045525312
4.185,-0.156354755,-0.611629307,-0.174313784
4.19,-0.113488257,-0.649521768,-0.258199692
4.195,-0.056538761,-0.633098662,-0.314120054
4.2,0.007592261,-0.569521666,-0.248744011
4.205,-0.090808749,-0.489699423,-0.305837393
4.21,-0.143530756,-0.443570673,-0.27939558
4.215,-0.201093346,-0.426139057,-0.322354198
4.22,-0.184806854,-0.451518536,-0.274281383
4.225,-0.099287927,-0.440885782,-0.281104803
4.23,-0.00154686,-0.373042822,-0.2181499
4.235,0.010522425,-0.345888495,-0.137684703
4.24,-0.036645234,-0.356951892,-0.087365985
4.245,-0.068980813,-0.396839917,-0.102678061
4.25,-0.108129144,-0.432155371,-0.183617473
4.255,-0.10639298,-0.36233139,-0.167612195
4.26,-0.188217014,-0.369150639,-0.229493618
4.265,-0.224355429,-0.328207374,-0.254472375
4.27,-0.241322637,-0.275244772,-0.345645428
4.275,-0.265526742,-0.231660485,-0.462636232
4.28,-0.332672715,-0.173376143,-0.598879576
4.285,-0.387993574,-0.06691283,-0.673373222
4.29,-0.383784562,-0.069820046,-0.705460787
4.295,-0.3175762,-0.084223628,-0.767025828
4.3,-0.277659953,-0.177307248,-0.75804019
4.305,-0.268501431,-0.261005104,-0.76703167
4.31,-0.345208138,-0.342652321,-0.751016259
4.315,-0.374078363,-0.314540207,-0.795947671
4.32,-0.379311413,-0.265143991,-0.765237331
4.325,-0.420712262,-0.258843899,-0.690000534
4.33,-0.364487827,-0.223778784,-0.553312302
4.335,-0.322884589,-0.225198627,-0.455423236
4.34,-0.279043794,-0.295372665,-0.288381815
4.345,-0.127578884,-0.431577623,-0.207369685
4.35,-0.095599651,-0.500612259,-0.135428667
4.355,-0.082659185,-0.448530614,-0.12986052
4.36,-0.091150165,-0.494764745,-0.145066738
4.365,-0.063710868,-0.431630909,-0.14272213
4.37,-0.024066269,-0.3952353,-0.130089283
4.375,0.044633687,-0.363851666,-0.092735887
4.38,0.145026207,-0.368197381,-0.099957108
4.385,0.21269244,-0.351067901,-0.113471985
4.39,0.197434843,-0.39594239,-0.150042772
4.395,0.147075057,-0.36220628,-0.176321626
4.4,0.090350211,-0.352658212,-0.245362282
4.405,0.015134096,-0.29817301,-0.381466389
4.41,0.029126525,-0.274897277,-0.426914454
4.415,-0.047171295,-0.213647783,-0.381962895
4.42,-0.163665175,-0.20238328,-0.303963542
4.425,-0.22494182,-0.207553744,-0.221398592
4.43,-0.269611061,-0.193409979,-0.105430722
4.435,-0.355339557,-0.250589967,-0.096949816
4.44,-0.350437731,-0.274036288,-0.059359431
4.445,-0.362589955,-0.254816294,-0.109995723
4.45,-0.38945958,-0.29297626,-0.189139485
4.455,-0.433573902,-0.26465559,-0.289848685
4.46,-0.552579284,-0.227279782,-0.330897927
4.465,-0.593502522,-0.249670029,-0.378954291
4.47,-0.575569153,-0.264926195,-0.398224592
4.475,-0.548965335,-0.339739025,-0.341213584
4.48,-0.527842581,-0.374002635,-0.40334034
4.485,-0.41639629,-0.325527847,-0.422163248
4.49,-0.357897997,-0.308838546,-0.431415915
4.495,-0.273246586,-0.214230895,-0.452558517
4.5,-0.188546091,-0.182196379,-0.428712964
4.505,-0.165784806,-0.171670854,-0.502606392
4.51,-0.049386412,-0.196820915,-0.481079102
4.515,-0.025820673,-0.197996497,-0.471763253
4.52,0.003115326,-0.227831125,-0.462687135
4.525,0.008798391,-0.241077244,-0.403777719
4.53,-0.013549566,-0.192737401,-0.380783319
4.535,-0.037747681,-0.135352015,-0.412573695
4.54,-0.078397632,-0.118806064,-0.420357823
4.545,-0.139391363,-0.126088381,-0.454336405
4.55,-0.157114953,-0.118990362,-0.457420945
4.555,-0.139052689,-0.111773849,-0.460745692
4.56,-0.154304326,-0.080849588,-0.47619307
4.565,-0.19541648,-0.038231254,-0.522733092
4.57,-0.245684832,0.046999216,-0.517263889
4.575,-0.329007059,0.022795975,-0.590816617
4.58,-0.404953867,0.091672003,-0.590834737
4.585,-0.502407551,0.0013237,-0.589123011
4.59,-0.51200521,-0.000165343,-0.528506756
4.595,-0.488906562,-0.015597522,-0.444999337
4.6,-0.416637599,-0.045008123,-0.352849722
4.605,-0.426031858,-0.085885942,-0.254244566
4.61,-0.399971753,-0.083452821,-0.151408076
4.615,-0.374311328,-0.130661786,-0.110571623
4.62,-0.334747523,-0.153662026,-0.131213069
4.625,-0.269393861,-0.202670455,-0.11783433
4.63,-0.192654967,-0.218247592,-0.118070126
4.635,-0.164055705,-0.191253066,-0.162840128
4.64,-0.145000488,-0.159926951,-0.168880463
4.645,-0.154478848,-0.050501168,-0.217358947
4.65,-0.185181797,0.01562494,-0.246212482
4.655,-0.225165308,-0.010910869,-0.357817411
4.66,-0.224574983,-0.05330956,-0.290530324
4.665,-0.181299716,-0.175975084,-0.299973965
4.67,-0.178718895,-0.259863973,-0.304870725
4.675,-0.242561132,-0.341059566,-0.264890432
4.68,-0.363010556,-0.357749224,-0.22536552
4.685,-0.463855028,-0.348376215,-0.179091692
4.69,-0.51940012,-0.294040084,-0.211579084
4.695,-0.532498837,-0.24972111,-0.217787385
4.7,-0.498758316,-0.212834179,-0.25728488
4.705,-0.418364972,-0.152456522,-0.277506351
4.71,-0.386520982,-0.156345189,-0.287978768
4.715,-0.324293226,-0.179269612,-0.310275316
4.72,-0.27686435,-0.180737376,-0.330190897
4.725,-0.267850608,-0.241624475,-0.373796463
4.73,-0.206687719,-0.202471673,-0.364934564
4.735,-0.155402392,-0.180395663,-0.303904653
4.74,-0.116208076,-0.14206928,-0.23857975
4.745,-0.084277302,-0.077925682,-0.223508954
4.75,-0.104730695,-0.011870623,-0.217774391
4.755,-0.141516447,0.037240922,-0.140623212
4.76,-0.137774527,0.069832742,-0.097086787
4.765,-0.129453808,0.128982246,-0.108271241
4.77,-0.135664135,0.088408887,-0.055030346
4.775,-0.075413615,-0.022640884,-0.089795947
4.78,-0.051346481,-0.175497353,-0.064702868
4.785,-0.041697323,-0.279977977,-0.115621924
4.79,-0.046297938,-0.255919039,-0.014000893
4.795,-0.05790633,-0.263430178,-0.017473221
4.8,-0.093111277,-0.259569526,-0.049236417
4.805,-0.037835717,-0.187247038,-0.04723525
4.81,-0.047079712,-0.09658432,-0.10916841
4.815,-0.084590465,-0.094342411,-0.149015784
4.82,-0.055191338,-0.139421344,-0.138609767
4.825,-0.021294862,-0.177209258,-0.171085358
4.83,-0.058987767,-0.198477983,-0.194087744
4.835,-0.075002849,-0.179602802,-0.203044295
4.84,-0.038605571,-0.189718425,-0.219567657
4.845,-0.042800158,-0.097698748,-0.22693491
4.85,-0.070627928,-0.082405925,-0.227439284
4.855,-0.105348915,0.02572459,-0.176043153
4.86,-0.132787287,0.097925901,-0.132372975
4.865,-0.131635666,0.034816086,-0.127039909
4.87,-0.20445019,-0.022527099,-0.074079633
4.875,-0.248550117,-0.088417113,-0.03085494
