Time (s),Linear Acceleration z1 (m/s^2),Linear Acceleration z2 (m/s^2),Linear Acceleration z3 (m/s^2)
3.225,0.987103462,-6.329366684,39.96605682
3.23,-2.770117044,-5.168026447,33.37470627
3.235,-4.513275623,-4.017694473,23.98270988
3.24,-4.623388767,-2.993048429,14.24756908
3.245,-3.597452641,-2.197859049,5.02311039
3.25,-2.58092165,-1.480892181,-1.703111053
3.255,-1.738339186,-0.885417938,-4.671134949
3.26,-1.13155365,-0.331434727,-6.393876076
3.265,-0.755538464,-0.06591177,-5.521306515
3.27,-0.52133131,0.066905975,-2.071043491
3.275,-0.511082649,0.095350266,1.257743359
3.28,-0.414400578,0.040047169,3.357361317
3.285,-0.460905552,-0.179704666,3.998280048
3.29,-0.5110569,-0.596879482,3.668550491
3.295,-0.356116295,-1.000978947,3.058905602
3.3,-0.566497326,-1.385128021,2.170147419
3.305,-0.663424492,-1.783060312,1.130328178
3.31,-0.584225178,-2.240375519,-0.011326313
3.315,-0.579164505,-2.659081221,-1.096556425
3.32,-0.654389381,-3.070273399,-1.96522212
3.325,-0.80659914,-3.25375247,-2.787086964
3.33,-1.118789673,-3.340759754,-3.370272398
3.335,-1.377728701,-3.349815369,-3.802381039
3.34,-1.666902781,-3.32347703,-4.134624004
3.345,-1.945523024,-3.354370117,-4.376873493
3.35,-2.107903481,-3.310005665,-4.636490345
3.355,-2.332697153,-3.220184326,-4.759784222
3.36,-2.494483471,-3.040110111,-4.800863743
3.365,-2.572980881,-2.844278336,-4.808788776
3.37,-2.703225136,-2.534490585,-4.782320023
3.375,-2.821783543,-2.241836548,-4.786631584
3.38,-2.951319218,-1.984653473,-4.673900127
3.385,-3.045100212,-1.680461764,-4.578147888
3.39,-2.974933624,-1.411841989,-4.363421917
3.395,-2.741357803,-1.168311119,-4.199608326
3.4,-2.469153881,-0.960937023,-3.964646578
3.405,-2.20346427,-0.841408491,-3.775525331
3.41,-1.972711325,-0.761013985,-3.500464439
3.415,-1.812424064,-0.69285965,-3.328327656
3.42,-1.719761968,-0.68449235,-2.988204479
3.425,-1.529313564,-0.618625641,-2.697162628
3.43,-1.475195289,-0.535895586,-2.452354908
3.435,-1.33462739,-0.620088816,-2.303561211
3.44,-1.195768595,-0.712919474,-2.121242523
3.445,-1.122697592,-0.936154842,-1.943297148
3.45,-0.962168097,-1.067398071,-1.687821865
3.455,-0.809801817,-1.231273651,-1.342473507
3.46,-0.629655838,-1.628595233,-1.035703897
3.465,-0.385735989,-1.960534334,-0.766536474
3.47,-0.221504688,-2.013283253,-0.543864965
