Time (s),Linear Acceleration y1 (m/s^2),Linear Acceleration y2 (m/s^2),Linear Acceleration y3 (m/s^2)
4.265,0.118556976,0.152106285,0.225883961
4.27,0.120757103,0.168464661,0.2727561
4.275,0.123008728,0.084067345,0.195580959
4.28,0.146821976,0.092695236,0.219387054
4.285,0.139512062,0.103321075,0.14806509
4.29,0.103549957,0.154094696,0.14908886
4.295,0.11547184,0.194781303,0.090909481
4.3,0.12492466,0.211235046,0.073960781
4.305,0.105570793,0.170205116,0.105319977
4.31,0.100422859,0.141228676,0.039053917
4.315,0.080818176,0.196284294,-0.005149841
4.32,0.101708412,0.244485855,-0.055894852
4.325,0.10812664,0.285902023,-0.082132339
4.33,0.102424622,0.315795898,-0.086382389
4.335,0.130155563,0.305521011,-0.118906975
4.34,0.126649857,0.315003395,-0.081877232
4.345,0.151841164,0.274979591,-0.097414494
4.35,0.088465691,0.278384209,-0.122609615
4.355,0.092146873,0.248718262,-0.145533562
4.36,0.08143425,0.214608192,-0.19490242
4.365,0.07063961,0.173579216,-0.172660351
4.37,0.040635109,0.213460922,-0.169810295
4.375,0.060648918,0.157761574,-0.119441509
4.38,-0.015294075,0.171010017,-0.088628292
4.385,-0.031741142,0.143426895,-0.091651917
4.39,-0.041431427,0.132322311,-0.030566216
4.395,-0.056348801,0.132824898,-0.020223618
4.4,8.7738E-05,0.144815445,0.054324627
4.405,-0.01559639,0.125517845,0.044855595
4.41,-0.014719963,0.115588188,0.07833004
4.415,-0.002061844,0.09122467,0.090322495
4.42,-0.011052132,0.107214928,0.114291668
4.425,0.020518303,0.15617466,0.126283646
4.43,0.090250969,0.097748756,0.102372169
4.435,0.092951775,0.134636879,0.155088425
4.44,0.100449562,0.109417915,0.143341064
4.445,0.105557442,0.055902481,0.15826416
4.45,0.093976974,0.083602905,0.128160477
4.455,0.118379593,0.092133522,0.165537834
4.46,0.085440636,0.110132217,0.155540943
4.465,0.124411583,0.099560738,0.192405701
4.47,0.096570015,0.089152336,0.210262775
4.475,0.123991966,0.093249321,0.147397518
4.48,0.161177635,0.040577888,0.191964626
4.485,0.13876152,0.040870667,0.214802265
4.49,0.17639637,0.02005291,0.199422359
4.495,0.175909996,0.049509048,0.148487568
4.5,0.132637978,0.069482803,0.159592628
4.505,0.106300354,0.077691078,0.18467617
4.51,0.056194305,0.055250168,0.169015408
4.515,0.075497627,0.071253777,0.2054739
4.52,0.063620567,0.049464226,0.201089382
4.525,0.056409836,0.018615723,0.144267559
4.53,-0.013140678,0.01667881,0.120983124
4.535,-0.02063942,-0.001772881,0.140387535
4.54,-0.004360199,-0.024773598,0.09290266
4.545,0.009401321,-0.016771317,0.142958641
4.55,-0.022183418,-0.068183899,0.135380268
4.555,0.046086311,-0.062205315,0.11584425
4.56,-0.03830719,-0.115615845,0.14626646
4.565,0.003734589,-0.104560852,0.116945267
4.57,-0.011753082,-0.098504066,0.142359734
4.575,-0.022478104,-0.128232956,0.17939806
4.58,-0.004654884,-0.115109444,0.147283554
4.585,0.005833626,-0.109367371,0.160640717
4.59,0.021074295,-0.141802788,0.162239552
4.595,0.131223679,-0.091053963,0.175898075
4.6,0.133729935,-0.102528572,0.151580811
4.605,0.171933174,-0.099801064,0.163189411
4.61,0.200469017,-0.059239388,0.158113003
4.615,0.240753174,-0.114162445,0.157723904
4.62,0.155003548,-0.104571342,0.078895092
4.625,0.215044022,-0.083154678,0.045714378
4.63,0.182234764,-0.104592323,0.043514729
4.635,0.180799484,-0.06873703,0.041141033
4.64,0.203330994,-0.004588127,0.064552307
4.645,0.1687994,-0.045296669,0.0969491
4.65,0.163125992,-0.054652214,0.124092102
4.655,0.138491631,-0.037775993,0.105836391
